timestamp,x,y,z
0,-6.88,-0.2,11.25
10,-6.99,-0.26,11.21
20,-7.18,0.22,11.08
30,-7.18,0.87,10.41
40,-7.31,1.36,9.86
50,-7.28,0.77,9.31
60,-7.21,0.03,8.89
70,-7.06,-0.3,8.76
80,-6.98,-0.45,8.75
90,-6.91,-0.74,8.61
100,-6.66,-1.14,8.2
110,-6.37,-1.48,7.49
120,-6.2,-1.71,6.96
130,-6.08,-1.99,6.44
140,-6.11,-2.15,5.8
150,-6.26,-2.2,5.22
160,-6.62,-2.17,4.75
170,-6.9,-2.44,4.43
180,-7.02,-2.58,4.22
190,-6.88,-2.74,4.3
200,-6.8,-2.93,4.37
210,-6.9,-2.98,4.72
220,-7.11,-2.92,5.5
230,-7.46,-3.11,5.87
240,-7.91,-3.23,5.61
250,-8.33,-3.03,5.31
260,-8.7,-3.09,4.96
270,-8.76,-3.39,4.58
280,-8.7,-3.59,4.39
290,-8.65,-3.62,4.02
300,-8.77,-4.3,2.93
310,-8.69,-4.48,1.87
320,-8.17,-5.66,0.44
330,-7.21,-7.63,-0.45
340,-6.17,-9.32,-1.16
350,-5.41,-10.46,-3.44
360,-3.33,-9.81,-4.48
370,-2.65,-8.84,-5.15
380,-1.26,-7.94,-5.27
390,1.02,-7.18,-4.58
400,3.16,-5.17,-3.42
410,5.11,-0.87,-2.62
420,6.29,7.84,-2.06
430,6.74,20.67,-2.07
440,6.53,30.49,-2.71
450,7.61,30.67,0.81
460,7.8,27.92,7.9
470,8.0,28.55,12.17
480,7.82,36.1,15.23
490,8.31,46.05,19.89
500,8.9,50.97,28.05
510,9.58,46.93,36.29
520,10.49,36.77,36.57
530,12.44,26.76,31.14
540,14.55,19.98,24.37
550,16.3,13.92,17.98
560,16.46,7.37,13.84
570,16.39,1.15,12.24
580,16.05,-4.96,11.8
590,15.57,-9.46,10.52
600,14.98,-14.68,8.39
610,14.18,-21.49,5.01
620,12.72,-29.15,4.23
630,10.56,-39.15,3.3
640,7.23,-48.76,-1.68
650,3.32,-54.98,-6.17
660,1.0,-50.97,-6.43
670,0.4,-41.04,-3.33
680,0.03,-34.18,-2.94
690,-0.4,-31.87,-4.2
700,0.03,-31.06,-6.32
710,1.1,-29.16,-8.48
720,2.37,-27.17,-8.7
730,4.19,-24.61,-6.89
740,6.03,-21.35,-3.71
750,7.17,-19.58,-0.16
760,8.34,-18.21,2.94
770,9.82,-16.11,4.63
780,10.86,-13.92,5.67
790,11.91,-10.55,6.77
800,13.46,-4.1,6.9
810,14.32,7.34,8.41
820,13.45,18.43,17.92
830,9.44,13.97,22.36
840,8.59,9.7,24.24
850,8.47,12.88,25.52
860,7.92,21.68,27.26
870,7.53,29.71,30.47
880,6.19,32.12,32.98
890,4.85,31.35,33.59
900,3.93,32.8,32.03
910,3.69,32.88,27.82
920,4.04,30.7,21.51
930,4.94,25.86,16.46
940,5.7,21.04,13.26
950,5.96,17.18,11.99
960,6.31,13.25,11.7
970,7.6,8.7,10.97
980,9.07,4.52,9.64
990,10.38,-0.63,7.93
1000,11.09,-7.84,6.68
