timestamp,x,y,z
0,-3.92,0.48,1.63
10,-3.76,2.09,2.96
20,-3.53,4.13,4.17
30,-3.45,6.36,5.01
40,-3.76,9.53,5.58
50,-4.1,12.6,6.12
60,-4.25,14.27,6.24
70,-4.43,14.73,5.93
80,-4.57,15.24,4.91
90,-4.45,16.25,3.54
100,-4.45,17.74,2.77
110,-4.64,23.06,1.66
120,-3.96,27.32,2.74
130,-3.04,26.26,5.21
140,-2.64,22.66,6.7
150,-2.29,21.18,5.74
160,-2.16,20.49,4.24
170,-1.95,18.52,4.52
180,-1.43,15.8,6.6
190,-1.0,13.69,8.73
200,-0.52,11.9,9.56
210,-0.16,9.73,9.69
220,0.2,8.11,10.65
230,0.62,6.12,12.49
240,0.86,5.12,14.04
250,1.29,3.15,14.12
260,2.14,0.45,12.28
270,3.03,-2.7,10.0
280,3.04,-8.31,9.97
290,2.53,-13.97,11.44
300,2.08,-19.13,13.81
310,1.04,-18.14,13.4
320,0.1,-19.13,11.02
330,-0.54,-20.75,8.19
340,-1.11,-23.04,5.45
350,-1.45,-25.84,2.23
360,-1.79,-27.38,-0.6
370,-2.08,-27.41,-2.06
380,-1.92,-25.83,-2.15
390,-1.32,-24.46,-1.23
400,-1.07,-23.61,-0.65
410,-0.57,-22.81,-0.63
420,0.04,-21.39,-0.92
430,1.29,-20.56,-1.03
440,2.55,-20.09,-0.34
450,3.79,-19.06,0.86
460,5.46,-17.94,1.94
470,7.09,-17.07,3.42
480,9.01,-15.92,5.81
490,11.01,-15.36,8.98
500,12.91,-12.7,12.51
510,14.64,-6.24,15.08
520,15.43,2.29,15.53
530,15.16,10.96,13.72
540,13.8,17.19,12.53
550,12.9,17.63,12.77
560,13.02,17.34,13.45
570,12.9,17.0,15.94
580,11.5,22.25,20.07
590,9.6,31.56,22.49
600,7.06,38.74,21.37
610,4.88,40.57,17.33
620,4.19,35.89,14.01
630,4.84,26.19,11.67
640,4.54,20.06,7.39
650,4.41,19.39,3.23
660,3.73,22.1,0.23
670,2.37,24.16,-1.8
680,3.3,23.97,2.24
690,4.21,19.65,6.75
700,4.94,16.58,8.9
710,5.65,14.5,9.41
720,7.23,12.54,11.29
730,8.49,9.79,12.11
740,9.42,6.52,12.0
750,10.34,3.01,12.84
760,10.77,-1.79,15.19
770,10.37,-11.52,16.2
780,8.43,-14.39,17.36
790,6.85,-15.64,18.01
800,5.3,-15.1,17.32
810,3.92,-13.02,15.74
820,2.76,-12.36,14.86
830,1.76,-11.78,14.19
840,0.74,-11.94,14.63
850,-0.29,-11.84,14.93
860,-1.16,-10.32,14.22
870,-1.83,-8.76,13.16
880,-2.18,-7.89,12.0
890,-2.36,-7.38,10.54
900,-2.66,-6.72,9.09
910,-2.91,-5.79,8.02
920,-2.83,-4.55,7.56
930,-2.74,-3.55,7.61
940,-2.59,-2.74,8.11
950,-2.55,-1.44,8.39
960,-2.52,0.4,8.2
970,-2.38,2.56,8.24
980,-2.34,3.93,8.63
990,-2.48,4.38,9.15
1000,-2.45,4.43,9.59
