timestamp,x,y,z
0,-9.71,-2.52,1.06
10,-9.56,-2.46,1.0
20,-9.52,-2.39,0.82
30,-9.48,-2.37,0.63
40,-9.5,-2.37,0.53
50,-9.51,-2.26,0.51
60,-9.49,-2.29,0.51
70,-9.41,-2.38,0.51
80,-9.4,-2.49,0.59
90,-9.38,-2.55,0.64
100,-9.4,-2.68,0.79
110,-9.56,-2.86,0.97
120,-9.67,-2.85,1.22
130,-9.74,-2.85,1.41
140,-9.72,-2.78,1.47
150,-9.63,-2.75,1.43
160,-9.51,-2.78,1.15
170,-9.42,-2.84,0.95
180,-9.37,-2.9,0.97
190,-9.33,-2.93,1.05
200,-9.33,-2.9,1.09
210,-9.25,-2.79,1.02
220,-9.12,-2.63,0.91
230,-9.03,-2.45,0.69
240,-8.87,-2.27,0.54
250,-8.79,-2.19,0.5
260,-8.71,-2.09,0.66
270,-8.65,-1.99,0.91
280,-8.58,-1.86,1.22
290,-8.62,-1.51,1.39
300,-8.57,-1.06,1.29
310,-8.5,-0.68,1.16
320,-8.35,-0.14,0.9
330,-8.22,0.45,0.42
340,-8.24,-0.98,-3.16
350,-7.9,0.79,-2.11
360,-7.59,4.84,-3.24
370,-6.05,16.13,-2.7
380,-5.74,14.02,-3.54
390,-5.67,13.56,-4.26
400,-6.06,14.08,-5.04
410,-6.25,17.38,-5.67
420,-6.37,20.41,-6.48
430,-6.46,22.28,-8.05
440,-5.56,24.75,-6.24
450,-4.5,24.78,-6.09
460,-4.93,28.82,-14.26
470,-3.68,26.48,-7.44
480,-2.79,22.48,-5.56
490,-2.39,18.59,-2.68
500,-1.99,17.26,-1.7
510,-1.45,17.15,-0.21
520,-2.06,13.63,0.73
530,-2.09,14.77,2.56
540,-2.24,13.18,4.6
550,-2.69,8.83,8.64
560,2.19,6.61,12.78
570,-1.59,2.37,15.84
580,-2.18,-0.92,14.77
590,-1.9,-1.78,14.07
600,-2.37,-3.78,15.74
610,-1.1,-3.85,19.64
620,-0.57,-6.46,24.8
630,-0.62,-11.39,28.72
640,-0.87,-16.01,26.85
650,-2.68,-16.08,18.12
660,-3.19,-17.83,13.0
670,-3.31,-22.92,8.32
680,-3.34,-23.56,15.43
690,-4.16,-22.69,9.08
700,-4.55,-22.2,9.66
710,-3.53,-24.1,8.7
720,-3.14,-24.4,6.56
730,-2.72,-23.6,6.1
740,-2.15,-22.1,6.23
750,-1.86,-19.97,6.87
760,-1.0,-18.14,8.72
770,-0.83,-14.58,10.54
780,-1.21,-10.39,11.12
790,-1.72,-8.07,12.6
800,-1.89,-7.11,15.47
810,-1.68,-2.22,19.51
820,-2.69,0.37,17.98
830,-3.19,3.75,17.26
840,-4.21,5.77,17.37
850,-4.5,6.72,17.05
860,-4.83,5.41,16.73
870,-4.65,4.78,16.78
880,-4.04,5.65,15.1
890,-2.95,4.87,12.13
900,-2.63,5.59,2.93
910,-2.03,4.82,11.3
920,-1.4,7.8,7.93
930,-1.29,8.53,11.62
940,-6.59,17.12,9.78
950,-5.47,17.12,6.26
960,-3.59,22.36,9.59
970,-2.13,26.29,5.65
980,-3.28,17.29,3.1
990,-4.1,13.57,2.33
1000,-3.57,18.89,2.28
