timestamp,x,y,z
0,-10.1,3.06,0.72
10,-10.27,3.11,1.06
20,-10.27,3.09,1.43
30,-10.25,2.94,1.87
40,-10.37,2.74,2.21
50,-10.46,2.47,2.55
60,-10.74,2.26,2.71
70,-11.04,2.14,2.91
80,-11.11,2.89,3.27
90,-11.22,2.42,3.48
100,-11.38,1.4,3.71
110,-11.49,0.28,4.06
120,-11.61,-0.86,4.15
130,-11.08,0.66,4.77
140,-10.84,0.56,5.02
150,-10.73,0.44,5.15
160,-10.71,0.32,5.11
170,-10.57,0.23,5.1
180,-10.34,0.03,5.08
190,-10.0,-0.92,4.97
200,-8.11,-1.74,5.31
210,-9.55,0.16,4.81
220,-8.32,-1.25,4.53
230,-7.52,-1.34,4.69
240,-7.07,-1.27,4.94
250,-6.37,-0.97,4.11
260,-5.82,-0.47,3.68
270,-5.41,-0.15,3.13
280,-5.1,0.44,2.47
290,-4.79,1.5,1.97
300,-4.14,2.06,0.28
310,-3.29,2.96,-0.95
320,-3.09,3.02,-2.71
330,-2.96,4.27,-4.17
340,-2.41,7.18,-5.1
350,-1.63,7.63,-6.58
360,-0.79,11.36,-9.16
370,-0.19,12.42,-11.79
380,-0.57,14.63,-16.27
390,-1.51,17.11,-20.41
400,-2.61,17.33,-22.72
410,-2.91,17.1,-23.11
420,-2.31,16.39,-22.7
430,-1.78,14.98,-21.87
440,-1.23,13.85,-20.5
450,-0.79,12.75,-18.96
460,-0.44,12.27,-17.34
470,-0.21,11.71,-15.63
480,-0.04,11.22,-14.11
490,-0.01,10.77,-12.51
500,0.27,12.5,-10.51
510,-0.2,11.36,-8.46
520,-0.95,11.13,-5.9
530,-1.78,10.92,-2.98
540,-2.84,10.25,-0.59
550,-3.7,9.75,0.29
560,-3.93,9.2,1.84
570,-3.51,9.97,5.09
580,-3.03,10.82,9.85
590,-2.65,11.5,13.41
600,-3.22,10.77,16.02
610,-4.48,9.34,16.24
620,-5.54,7.57,15.49
630,-5.07,4.66,17.46
640,-4.3,2.98,20.13
650,-5.43,3.74,22.78
660,-10.27,-5.52,23.33
670,-4.69,-10.44,24.03
680,-3.97,-13.38,26.23
690,-3.98,-12.81,25.72
700,-5.28,-7.51,21.32
710,-6.03,-4.08,18.08
720,-5.74,-4.47,16.07
730,-4.92,-7.45,15.09
740,-4.07,-9.14,14.05
750,-3.71,-8.37,12.91
760,-3.4,-6.79,12.13
770,-2.59,-3.34,13.68
780,-1.13,0.76,15.51
790,-0.76,6.03,15.32
800,0.22,8.93,13.33
810,0.06,14.08,12.07
820,0.2,17.06,10.18
830,-2.1,26.28,-5.39
840,1.57,17.27,-4.19
850,0.46,9.71,0.61
860,1.82,10.86,0.05
870,2.2,13.67,-2.32
880,1.32,17.86,-5.5
890,-1.09,21.07,-7.56
900,-3.4,18.92,-8.52
910,-3.6,18.13,-8.95
920,-1.68,16.27,-9.36
930,0.32,14.6,-9.88
940,1.16,14.82,-11.15
950,1.01,15.6,-12.53
960,0.3,16.58,-13.43
970,-0.96,16.89,-12.84
980,-2.07,18.29,-13.62
990,-2.82,17.54,-12.71
1000,-3.19,17.67,-12.7
