timestamp,x,y,z
0,-11.47,1.67,10.53
10,-11.63,1.16,11.16
20,-11.43,0.88,12.11
30,-10.89,0.81,12.65
40,-10.39,1.23,12.66
50,-10.0,1.74,12.41
60,-9.56,1.63,11.98
70,-9.19,1.01,11.11
80,-9.01,0.86,9.81
90,-8.97,0.73,8.97
100,-8.97,0.86,8.45
110,-9.14,1.28,7.81
120,-9.51,0.84,6.75
130,-9.47,0.19,5.96
140,-9.43,0.06,5.63
150,-9.15,-0.02,5.96
160,-8.67,-0.44,6.41
170,-8.3,-0.63,6.29
180,-8.02,-0.46,5.65
190,-7.81,-0.13,4.61
200,-7.64,0.24,3.57
210,-7.56,0.8,2.53
220,-7.5,1.06,1.4
230,-7.44,1.14,0.08
240,-7.68,0.48,-1.27
250,-7.8,-0.91,-2.62
260,-8.36,-1.9,-4.16
270,-8.53,-2.87,-5.41
280,-8.85,-4.38,-5.93
290,-8.32,-5.11,-5.14
300,-6.94,-5.25,-4.68
310,-6.47,-5.89,-4.44
320,-5.89,-7.05,-3.48
330,-4.71,-7.11,-2.82
340,-3.68,-7.52,-2.61
350,-2.52,-8.01,-2.57
360,-1.65,-8.03,-3.18
370,-0.48,-5.87,-4.35
380,0.71,-3.71,-5.24
390,2.02,-1.34,-6.17
400,3.41,1.85,-7.5
410,5.54,10.76,-11.2
420,10.38,18.99,-11.3
430,11.43,29.24,-7.87
440,11.58,35.15,-1.95
450,10.53,37.79,1.66
460,9.6,37.95,-0.48
470,8.99,38.3,-5.63
480,9.29,38.39,-8.87
490,10.21,38.64,-9.37
500,11.2,38.88,-6.56
510,12.01,39.82,-0.4
520,13.39,39.83,4.63
530,14.98,36.76,7.6
540,16.47,31.26,11.4
550,18.09,24.73,14.99
560,19.18,16.86,17.47
570,19.35,9.34,19.88
580,18.66,3.95,22.56
590,17.26,-1.23,26.76
600,15.42,-5.85,29.45
610,13.51,-12.52,29.26
620,10.79,-17.84,27.41
630,7.68,-20.91,25.82
640,5.1,-25.73,24.68
650,2.73,-31.31,20.88
660,0.68,-35.67,14.95
670,-1.12,-40.71,9.86
680,-2.6,-43.44,6.47
690,-3.69,-42.61,4.42
700,-4.35,-40.12,3.8
710,-4.13,-36.69,2.92
720,-4.02,-34.96,3.12
730,-2.44,-33.11,3.14
740,-1.59,-29.36,2.24
750,0.24,-25.58,2.18
760,2.54,-23.05,3.03
770,4.96,-21.44,4.04
780,8.17,-21.14,5.32
790,11.26,-19.89,6.94
800,14.99,-18.96,10.83
810,18.48,-15.1,15.31
820,21.38,-8.06,17.68
830,22.93,1.43,17.53
840,22.84,8.31,14.55
850,22.56,7.56,11.93
860,22.77,5.34,10.56
870,24.09,7.61,9.38
880,26.07,23.1,11.34
890,23.39,33.7,14.84
900,20.28,38.26,19.26
910,17.02,37.91,20.53
920,14.89,36.55,16.2
930,13.52,37.7,10.49
940,12.57,39.8,8.69
950,11.61,42.19,9.64
960,11.01,43.75,11.4
970,10.79,42.97,11.62
980,10.34,40.81,10.31
990,10.33,38.83,7.92
1000,11.51,34.92,4.37
