timestamp,x,y,z
0,-9.56,-0.34,0.02
10,-9.66,-0.24,-0.01
20,-9.64,-0.03,-0.03
30,-9.73,0.12,-0.2
40,-9.79,0.36,-0.29
50,-9.8,0.42,-0.13
60,-9.79,0.48,-0.05
70,-9.83,0.34,0.04
80,-9.66,-0.75,-0.49
90,-9.98,-1.16,-0.42
100,-9.69,0.12,0.28
110,-9.45,-0.01,0.68
120,-9.68,-0.44,0.32
130,-9.87,-0.41,-0.25
140,-10.03,-0.06,-0.44
150,-10.15,0.13,-0.3
160,-10.06,0.09,-0.2
170,-9.85,-0.14,-0.15
180,-9.64,-0.49,-0.01
190,-9.44,-0.19,0.2
200,-9.21,0.28,0.66
210,-9.37,0.32,0.92
220,-9.76,0.34,0.78
230,-9.9,0.87,0.6
240,-10.01,1.07,0.72
250,-10.2,1.36,0.66
260,-10.36,1.38,0.67
270,-10.33,1.42,0.68
280,-10.36,1.29,0.68
290,-10.52,0.89,0.78
300,-10.66,0.42,0.92
310,-10.83,-0.01,0.9
320,-11.3,-0.08,0.8
330,-11.81,-0.1,0.79
340,-12.04,-0.19,0.94
350,-11.99,-2.02,1.24
360,-11.85,-3.5,2.02
370,-11.71,-3.72,2.52
380,-11.7,-3.8,2.47
390,-11.74,-3.96,2.46
400,-11.53,-4.18,2.72
410,-11.21,-4.73,2.89
420,-10.92,-4.75,3.15
430,-10.45,-4.21,3.39
440,-9.97,-4.09,3.45
450,-9.6,-3.72,3.64
460,-8.34,-3.21,3.43
470,-7.89,-2.85,2.78
480,-7.14,-2.14,2.15
490,-6.13,-2.34,1.3
500,-5.02,-0.38,0.37
510,-5.05,0.18,-1.32
520,-4.97,2.05,-3.42
530,-4.86,3.43,-7.02
540,-3.14,3.86,-2.95
550,-1.29,18.7,-8.86
560,2.03,15.8,-2.76
570,0.67,34.31,-13.0
580,-1.88,33.54,-16.7
590,1.6,35.4,-10.27
600,1.53,31.0,-11.99
610,2.13,28.74,-12.17
620,2.58,26.59,-11.89
630,2.76,25.73,-11.25
640,3.26,25.21,-6.62
650,3.49,21.83,-3.8
660,3.55,20.2,-0.54
670,2.36,19.57,0.22
680,2.13,17.95,2.53
690,1.72,15.67,9.48
700,1.41,20.71,14.71
710,2.95,13.07,20.84
720,4.44,9.38,25.35
730,3.66,4.22,24.41
740,4.58,2.05,26.09
750,5.94,-4.42,29.22
760,9.39,-14.31,39.04
770,12.74,-33.49,50.05
780,12.37,-47.89,41.16
790,4.74,-78.36,-21.4
800,6.05,-19.68,22.91
810,-0.05,-14.65,31.27
820,-6.48,-14.65,18.85
830,-6.78,-26.28,13.17
840,-3.88,-18.01,6.99
850,-0.66,-21.38,15.59
860,-1.21,-18.42,11.81
870,-3.55,-12.09,7.69
880,-3.48,-14.59,7.34
890,-2.49,-12.48,8.71
900,-1.54,-14.26,12.25
910,-0.95,-12.22,12.51
920,-1.73,-7.84,12.62
930,-1.64,-3.06,15.58
940,-0.34,0.13,16.38
950,1.33,4.13,17.07
960,2.81,7.31,17.5
970,3.16,8.17,17.24
980,1.02,11.27,14.78
990,4.2,21.43,15.05
1000,4.36,24.34,9.0
