timestamp,x,y,z
0,-7.49,2.41,5.53
10,-7.46,2.38,5.44
20,-7.36,2.26,5.43
30,-7.37,2.41,5.5
40,-7.33,2.68,5.59
50,-7.29,2.86,5.71
60,-7.27,2.95,5.84
70,-7.25,3.1,6.06
80,-7.29,3.17,6.18
90,-7.3,3.15,6.15
100,-7.37,2.92,6.2
110,-7.39,2.87,6.46
120,-7.47,2.93,6.62
130,-7.46,2.45,6.55
140,-7.63,2.64,6.58
150,-7.86,2.86,6.65
160,-8.17,2.99,6.95
170,-8.41,3.3,7.77
180,-8.54,3.94,8.5
190,-8.62,4.6,8.71
200,-8.56,4.63,8.29
210,-8.48,4.33,7.79
220,-8.71,3.98,7.25
230,-9.48,4.01,6.82
240,-10.61,4.29,6.27
250,-11.63,4.81,6.46
260,-12.44,5.45,7.62
270,-12.01,5.71,8.5
280,-11.02,8.48,8.12
290,-12.05,6.4,9.44
300,-12.24,4.45,9.3
310,-12.12,2.58,8.73
320,-11.83,1.61,8.28
330,-11.25,1.42,8.57
340,-10.37,0.22,8.17
350,-8.85,-3.39,6.92
360,-7.35,-9.45,6.43
370,-6.47,-16.5,5.81
380,-5.1,-21.08,5.08
390,-4.35,-24.07,4.45
400,-3.57,-23.42,3.87
410,-2.54,-20.42,3.4
420,-1.27,-16.95,1.9
430,-0.03,-14.93,0.63
440,1.12,-13.82,0.27
450,2.41,-11.93,0.12
460,3.77,-9.41,0.5
470,5.13,-7.83,1.5
480,7.97,-5.67,1.19
490,11.54,-1.51,-2.65
500,14.43,6.5,-8.3
510,15.38,20.35,-13.53
520,14.17,35.08,-15.8
530,13.47,41.6,-9.87
540,12.02,42.57,-0.54
550,10.13,41.07,3.57
560,9.72,39.54,-0.56
570,8.66,43.1,-4.87
580,7.31,50.25,-4.91
590,7.02,55.98,1.81
600,12.61,41.12,6.69
610,16.38,32.58,11.0
620,19.1,22.79,12.49
630,20.48,12.16,12.46
640,19.64,4.07,12.51
650,17.93,-0.8,14.01
660,16.78,-4.43,16.73
670,15.41,-8.88,19.47
680,14.1,-14.64,22.35
690,12.52,-18.2,25.26
700,11.41,-23.14,26.4
710,9.92,-30.18,26.7
720,7.73,-36.8,26.06
730,4.99,-41.3,22.48
740,2.76,-41.07,17.79
750,1.28,-36.92,14.45
760,0.41,-32.7,13.7
770,0.11,-29.92,12.29
780,-0.01,-27.54,9.23
790,0.05,-26.2,5.59
800,0.62,-25.58,2.59
810,1.5,-24.82,1.3
820,2.54,-24.07,1.32
830,4.24,-22.7,2.85
840,5.8,-20.64,5.12
850,8.32,-17.89,7.68
860,9.96,-14.35,10.94
870,11.83,-12.24,13.79
880,13.13,-9.13,15.32
890,14.61,-6.22,16.15
900,15.74,-2.97,14.77
910,16.8,-0.31,11.74
920,17.78,1.99,8.03
930,18.71,5.48,5.89
940,19.73,10.77,6.51
950,20.48,17.14,9.03
960,19.55,26.39,10.98
970,17.91,39.21,11.5
980,15.69,49.56,12.12
990,13.68,48.42,13.13
1000,12.82,44.5,11.11
