timestamp,x,y,z
0,-5.89,2.96,6.52
10,-6.01,2.86,6.8
20,-6.03,2.78,7.04
30,-6.04,2.72,7.05
40,-6.08,2.51,6.93
50,-6.12,2.18,7.17
60,-6.23,1.95,7.18
70,-6.45,2.02,7.28
80,-6.39,2.01,7.51
90,-6.36,2.09,7.41
100,-6.34,2.26,7.25
110,-6.31,2.6,7.21
120,-6.31,2.76,7.2
130,-6.29,2.46,7.36
140,-6.2,2.2,7.56
150,-6.23,2.11,7.5
160,-6.22,2.25,7.09
170,-6.19,2.45,6.8
180,-6.3,2.77,6.75
190,-6.39,3.13,6.8
200,-6.45,3.29,6.49
210,-6.54,2.92,6.31
220,-6.71,2.53,6.6
230,-6.89,2.49,7.14
240,-7.26,2.21,7.45
250,-7.55,1.93,7.68
260,-7.56,1.2,7.65
270,-7.46,0.19,7.27
280,-7.48,-0.3,7.08
290,-7.37,-0.66,6.46
300,-7.08,-1.19,5.6
310,-6.71,-1.96,5.0
320,-6.33,-2.37,4.7
330,-6.06,-2.19,4.12
340,-5.77,-1.4,3.41
350,-5.59,-0.57,2.95
360,-5.3,-0.24,3.13
370,-4.44,1.34,3.29
380,-3.52,5.27,3.36
390,-3.15,9.36,3.64
400,-3.15,11.88,4.26
410,-2.69,13.03,4.89
420,-2.54,14.91,5.14
430,-2.44,18.04,4.3
440,-2.1,21.73,2.14
450,-1.47,26.24,-0.03
460,-0.62,30.89,-1.83
470,0.3,34.43,-2.05
480,1.47,34.96,0.21
490,2.75,32.69,3.88
500,4.19,29.18,7.18
510,5.35,26.07,7.97
520,6.58,19.85,7.8
530,9.49,15.73,8.49
540,10.72,10.36,10.76
550,11.51,5.45,13.17
560,12.04,-0.04,14.42
570,11.7,-5.01,14.88
580,10.96,-9.17,15.51
590,9.9,-15.03,16.39
600,8.28,-19.59,17.98
610,6.56,-21.29,19.57
620,5.27,-23.25,20.58
630,3.6,-24.74,21.32
640,1.66,-26.1,21.57
650,-0.06,-27.18,20.11
660,-1.36,-27.54,17.21
670,-1.99,-28.52,14.66
680,-1.61,-28.28,12.2
690,-2.31,-27.84,8.18
700,-2.11,-26.98,4.41
710,-1.64,-25.56,2.59
720,-0.68,-23.87,1.43
730,0.87,-21.87,1.84
740,3.22,-19.18,3.42
750,5.15,-15.95,5.49
760,7.01,-13.6,7.16
770,8.56,-12.67,8.24
780,10.14,-11.07,9.66
790,11.4,-6.8,10.56
800,12.18,-0.28,9.54
810,12.43,6.33,7.75
820,11.84,12.53,6.7
830,10.79,16.46,7.1
840,9.79,16.54,8.68
850,9.51,14.74,9.2
860,9.66,14.16,6.67
870,9.82,19.12,3.61
880,10.78,27.11,3.19
890,10.66,37.17,5.55
900,9.96,44.1,9.63
910,8.76,45.89,14.07
920,7.03,42.95,16.76
930,6.23,36.48,14.25
940,6.08,30.57,8.77
950,5.52,27.39,4.24
960,5.18,25.11,1.67
970,5.59,22.2,1.33
980,6.14,17.9,5.07
990,7.01,9.57,7.55
1000,7.65,5.92,9.5
