timestamp,x,y,z
0,-9.8,-1.1,2.36
10,-9.6,-1.12,2.27
20,-9.4,-1.17,2.3
30,-9.32,-1.11,2.29
40,-9.18,-0.76,2.08
50,-8.91,-0.56,1.56
60,-8.77,-0.53,1.17
70,-8.65,-0.37,1.07
80,-8.59,0.11,1.16
90,-8.69,0.53,1.28
100,-8.68,1.01,1.52
110,-8.73,1.39,1.83
120,-8.89,1.64,1.97
130,-8.97,1.64,2.13
140,-9.19,1.8,2.18
150,-9.3,1.49,2.13
160,-9.03,0.51,2.0
170,-9.06,-0.3,1.99
180,-8.99,-0.71,2.07
190,-8.85,-0.85,2.34
200,-8.72,-1.17,2.51
210,-8.67,-1.4,2.48
220,-8.63,-1.21,2.32
230,-8.55,-0.79,2.4
240,-8.63,-0.19,2.86
250,-8.59,0.77,3.35
260,-8.56,1.25,3.67
270,-8.57,1.25,3.52
280,-8.34,1.23,2.96
290,-8.16,1.17,2.36
300,-8.15,0.73,1.94
310,-7.95,0.66,1.9
320,-7.78,0.45,2.01
330,-7.44,0.97,1.72
340,-6.95,3.62,1.48
350,-6.19,6.22,1.27
360,-5.43,8.7,0.59
370,-4.75,12.65,-0.81
380,-4.01,17.36,-2.48
390,-3.24,22.02,-4.22
400,-2.68,26.43,-8.17
410,-2.16,38.95,-9.19
420,-0.58,42.15,-7.68
430,-0.09,40.37,-2.43
440,1.13,36.14,4.62
450,1.73,30.08,8.02
460,2.39,25.12,8.26
470,3.57,19.8,8.16
480,4.7,14.72,8.25
490,5.92,9.74,9.14
500,7.14,4.11,10.7
510,8.04,-2.23,13.14
520,8.24,-7.46,15.67
530,7.54,-12.92,18.18
540,6.85,-21.12,21.09
550,6.01,-29.32,22.35
560,4.38,-38.87,20.35
570,2.83,-41.85,14.89
580,-1.28,-39.58,11.88
590,-1.25,-31.83,13.37
600,-1.3,-25.87,16.02
610,-2.4,-24.22,16.35
620,-2.73,-23.55,14.39
630,-2.28,-22.27,11.5
640,-1.92,-21.13,9.12
650,-1.42,-19.87,7.1
660,-0.86,-17.17,5.57
670,-0.36,-14.0,4.65
680,0.11,-11.45,5.11
690,0.48,-9.51,6.15
700,0.83,-7.65,7.43
710,1.5,-6.12,9.29
720,1.9,-3.18,11.09
730,1.91,-0.61,12.2
740,2.5,1.33,12.34
750,3.44,5.05,9.62
760,4.22,10.41,4.74
770,3.54,16.49,1.08
780,1.83,18.85,2.25
790,2.01,20.27,7.67
800,1.47,21.95,15.5
810,-0.05,25.15,17.02
820,-0.42,28.58,10.7
830,-0.91,34.04,1.88
840,-0.86,40.69,-3.52
850,-0.12,42.08,-2.75
860,0.88,36.15,4.04
870,0.12,29.22,6.69
880,0.42,22.91,3.4
890,1.46,19.24,2.33
900,1.38,16.95,2.48
910,1.59,14.13,3.65
920,2.12,12.24,5.71
930,1.5,9.9,7.46
940,0.92,7.01,9.42
950,0.51,4.37,11.42
960,0.24,0.94,13.48
970,-0.11,-1.51,14.21
980,-0.65,-2.43,14.24
990,-1.22,-2.49,14.06
1000,-1.2,-3.86,14.67
