timestamp,x,y,z
0,-8.1,1.0,2.57
10,-8.08,0.74,3.09
20,-8.04,0.65,3.79
30,-7.85,0.64,4.16
40,-7.75,1.02,4.2
50,-7.51,1.52,4.38
60,-7.29,2.48,4.5
70,-7.03,2.69,4.56
80,-6.86,3.05,4.61
90,-6.77,3.5,4.57
100,-6.82,3.86,4.63
110,-6.81,4.08,4.67
120,-6.9,4.59,4.62
130,-6.86,4.76,4.62
140,-6.92,4.97,4.63
150,-6.75,5.14,4.11
160,-6.69,5.86,3.75
170,-6.63,6.05,3.77
180,-6.58,5.79,3.87
190,-6.52,5.3,3.93
200,-6.31,5.11,3.65
210,-5.88,5.64,3.44
220,-5.47,6.42,3.42
230,-5.07,7.63,3.46
240,-4.53,8.75,3.35
250,-4.13,9.09,3.13
260,-3.96,9.71,2.29
270,-3.37,11.21,0.68
280,-2.82,12.24,-1.13
290,-1.93,11.86,-2.86
300,-0.91,11.63,-4.59
310,-0.03,12.84,-5.49
320,0.66,15.13,-5.29
330,1.58,18.7,-4.3
340,2.33,23.55,-3.03
350,3.11,29.3,-2.53
360,3.43,32.95,-0.97
370,3.74,31.45,1.85
380,4.18,28.57,4.11
390,5.08,26.18,5.19
400,6.2,22.97,5.36
410,7.17,19.99,5.58
420,8.01,17.71,7.04
430,8.84,16.5,9.85
440,10.2,14.61,12.64
450,11.72,10.7,15.46
460,12.48,6.64,18.05
470,12.54,2.6,20.43
480,11.87,-1.06,22.38
490,10.69,-4.88,23.18
500,9.01,-8.44,21.05
510,7.25,-12.13,17.86
520,5.58,-17.49,12.04
530,3.55,-24.28,10.54
540,0.21,-28.08,8.47
550,-1.48,-31.14,5.41
560,-2.84,-32.78,2.07
570,-4.16,-33.33,-0.12
580,-4.81,-33.24,-0.54
590,-4.53,-32.47,0.63
600,-4.26,-31.13,1.92
610,-3.61,-28.98,2.08
620,-2.59,-27.03,2.05
630,-1.36,-24.59,2.28
640,-0.11,-22.28,2.5
650,1.0,-20.2,3.17
660,1.08,-18.85,4.4
670,3.5,-17.75,6.43
680,4.84,-16.48,8.88
690,6.49,-15.43,12.04
700,8.08,-13.08,14.05
710,9.29,-9.19,14.02
720,10.33,-5.82,12.88
730,11.19,-4.31,10.79
740,11.67,-2.57,8.1
750,13.29,-0.94,5.22
760,14.88,1.78,4.52
770,16.39,4.93,6.24
780,17.31,8.82,10.32
790,17.41,14.14,15.82
800,16.4,21.12,19.91
810,14.63,29.08,19.92
820,12.51,33.87,18.43
830,10.27,36.18,16.94
840,8.6,36.81,16.13
850,8.07,36.93,14.39
860,7.44,35.67,13.56
870,7.23,33.77,12.97
880,6.89,34.16,12.5
890,6.66,35.37,11.68
900,6.57,34.05,10.69
910,6.45,32.82,10.06
920,6.77,31.14,8.47
930,7.4,29.26,6.39
940,8.18,26.17,4.83
950,8.91,21.97,4.1
960,9.56,18.64,4.24
970,10.34,16.0,4.84
980,11.52,12.84,5.68
990,12.16,8.95,8.63
1000,12.76,3.66,10.3
