timestamp,x,y,z
0,6.38,6.97,1.23
10,6.78,4.9,-0.07
20,6.73,5.38,-1.0
30,7.28,7.03,-0.51
40,7.69,8.28,-0.31
50,7.99,9.7,0.99
60,8.73,12.34,5.87
70,8.85,17.49,12.32
80,9.14,20.92,16.91
90,9.84,21.46,21.39
100,11.41,20.25,24.86
110,12.99,17.44,25.57
120,14.26,13.06,25.49
130,14.75,9.43,24.61
140,14.88,7.27,25.3
150,15.05,4.76,28.02
160,14.89,2.56,29.88
170,14.19,0.93,29.13
180,12.49,-0.39,26.17
190,10.28,-1.89,22.3
200,8.63,-4.04,19.28
210,7.05,-5.76,17.19
220,5.6,-6.78,14.94
230,4.65,-7.98,12.45
240,3.52,-9.39,10.46
250,2.33,-9.5,10.87
260,0.75,-8.26,11.36
270,0.67,-7.21,10.82
280,0.43,-6.22,9.4
290,0.32,-5.1,7.34
300,0.45,-4.85,5.43
310,0.26,-5.72,4.44
320,0.32,-5.11,4.01
330,0.88,-3.18,3.89
340,1.21,-0.98,3.13
350,1.62,1.71,0.26
360,1.44,5.91,-4.75
370,-0.36,10.96,-10.44
380,-3.35,15.13,-13.67
390,-4.66,15.63,-11.51
400,-4.91,13.78,-6.44
410,-5.01,12.87,-0.69
420,-5.63,13.98,3.21
430,-6.42,15.66,4.24
440,-6.56,14.99,2.71
450,-5.96,12.02,0.18
460,-5.88,9.16,-1.83
470,-6.13,6.56,-2.49
480,-6.38,4.92,-2.17
490,-6.65,4.21,-1.06
500,-7.02,4.45,0.14
510,-7.37,5.14,1.13
520,-7.59,6.08,2.13
530,-7.39,6.71,3.57
540,-7.31,7.29,5.01
550,-7.26,7.66,6.28
560,-7.1,7.52,7.37
570,-7.02,7.0,8.01
580,-6.91,6.11,8.19
590,-6.9,5.2,7.79
600,-6.91,4.42,7.14
610,-6.95,3.73,6.65
620,-6.99,3.32,6.51
630,-7.01,3.1,6.59
640,-7.03,3.1,6.52
650,-7.22,3.61,6.13
660,-7.46,4.18,5.88
670,-7.34,4.38,6.08
680,-7.18,4.49,6.23
690,-7.11,4.48,5.87
700,-7.02,3.97,5.47
710,-6.96,3.38,5.05
720,-6.97,2.66,4.85
730,-6.98,2.67,4.78
740,-6.98,2.88,4.83
750,-7.09,3.45,4.99
760,-7.15,4.07,5.18
770,-7.08,4.37,5.31
780,-7.04,4.4,5.39
790,-7.01,4.35,5.3
800,-6.95,4.12,5.24
810,-6.9,3.84,5.25
820,-6.84,3.69,5.13
830,-6.79,3.7,5.17
840,-6.76,3.97,5.17
850,-6.79,4.43,4.81
860,-6.82,4.81,4.4
870,-6.84,5.06,4.26
880,-6.9,5.12,4.54
890,-6.87,5.02,5.03
900,-6.92,4.91,5.44
910,-6.84,4.59,5.61
920,-6.83,4.28,5.76
930,-6.81,4.15,6.08
940,-6.87,4.08,6.35
950,-6.84,4.03,6.3
960,-6.93,3.98,5.99
970,-7.03,4.0,5.57
980,-7.04,4.0,5.44
990,-7.03,4.01,5.45
1000,-7.06,4.06,5.4
