timestamp,x,y,z
0,-6.0,-3.96,5.47
10,-5.98,-4.13,5.62
20,-6.01,-4.01,5.82
30,-5.9,-3.91,6.0
40,-5.96,-4.06,6.12
50,-6.0,-3.88,6.19
60,-6.26,-3.67,6.21
70,-5.96,-2.97,6.35
80,-6.39,-2.73,6.31
90,-6.32,-2.63,5.94
100,-6.23,-2.96,6.22
110,-6.12,-3.33,6.53
120,-6.3,-3.23,6.52
130,-6.23,-3.39,6.19
140,-6.19,-3.93,5.86
150,-6.17,-4.22,5.89
160,-6.27,-3.93,5.85
170,-6.27,-3.79,5.72
180,-6.28,-3.52,5.48
190,-6.28,-3.2,5.75
200,-6.26,-2.85,5.64
210,-6.29,-3.29,6.11
220,-6.22,-3.36,6.52
230,-6.26,-2.93,6.64
240,-6.21,-2.61,6.39
250,-6.22,-2.54,6.31
260,-6.17,-2.46,6.46
270,-6.25,-2.29,6.59
280,-6.36,-1.91,6.86
290,-6.28,-0.98,7.23
300,-6.61,0.88,7.85
310,-7.17,0.96,8.46
320,-7.51,0.13,8.31
330,-7.65,-0.67,8.1
340,-8.17,-1.46,8.07
350,-8.11,-2.32,8.93
360,-8.8,-1.72,10.57
370,-10.09,0.49,12.62
380,-10.55,2.87,14.91
390,-10.13,3.42,16.13
400,-9.66,1.74,15.57
410,-8.82,-0.58,13.55
420,-7.91,-2.77,11.32
430,-7.27,-5.07,9.68
440,-6.42,-7.33,9.38
450,-5.54,-14.07,8.43
460,-3.06,-17.47,7.56
470,-2.33,-20.63,5.96
480,-2.06,-21.17,4.89
490,-1.87,-19.31,4.6
500,-1.71,-17.34,4.52
510,-1.26,-16.41,3.46
520,-0.64,-16.92,1.58
530,0.41,-18.6,0.06
540,1.32,-18.59,-1.01
550,2.22,-16.52,-1.79
560,3.01,-13.61,-1.64
570,3.81,-10.93,-1.35
580,4.05,-8.79,-0.78
590,4.73,-7.28,0.29
600,5.8,-6.53,0.03
610,7.2,-7.36,-1.87
620,8.52,-7.61,-2.03
630,10.66,-6.2,-1.5
640,12.89,-3.0,-2.45
650,15.25,-0.33,-6.22
660,19.14,2.03,-8.99
670,22.81,5.71,-8.73
680,25.25,9.54,-5.31
690,27.09,11.36,1.65
700,26.41,13.02,8.53
710,24.61,15.78,12.4
720,22.95,21.8,15.74
730,21.68,28.92,17.15
740,20.29,31.23,13.64
750,17.37,31.55,12.34
760,15.81,30.48,11.88
770,14.95,31.5,11.18
780,13.07,35.09,10.21
790,15.27,35.94,7.47
800,19.42,32.53,0.45
810,26.59,24.01,-7.23
820,34.56,12.72,-10.08
830,41.05,-1.06,-4.79
840,44.05,-13.2,7.48
850,41.51,-18.26,23.72
860,35.27,-15.44,41.16
870,28.74,-8.42,53.27
880,25.52,0.71,55.55
890,27.52,8.07,45.63
900,29.53,9.14,28.47
910,29.3,7.58,6.11
920,27.64,-6.0,7.41
930,22.49,-13.65,15.11
940,19.7,-20.01,20.12
950,16.74,-22.53,22.35
960,14.25,-19.77,21.65
970,12.62,-15.92,19.26
980,11.78,-15.82,15.92
990,10.72,-16.86,11.58
1000,9.43,-16.25,7.48
