timestamp,x,y,z
0,-6.78,-3.49,7.04
10,-6.72,-3.46,6.95
20,-6.58,-3.53,6.85
30,-6.45,-3.62,6.74
40,-6.38,-3.68,6.66
50,-6.35,-3.71,6.64
60,-6.37,-3.68,6.62
70,-6.43,-3.63,6.62
80,-6.49,-3.54,6.64
90,-6.6,-3.42,6.63
100,-6.7,-3.35,6.62
110,-6.64,-3.23,6.59
120,-6.61,-3.04,6.58
130,-6.59,-2.79,6.37
140,-6.51,-2.56,6.25
150,-6.46,-1.93,5.89
160,-6.46,-1.35,5.45
170,-6.48,-0.69,5.4
180,-6.57,-0.47,6.2
190,-6.98,-0.39,7.02
200,-7.22,0.06,7.8
210,-7.75,0.98,7.81
220,-8.43,1.56,7.83
230,-9.44,2.76,8.88
240,-10.36,3.34,9.69
250,-11.41,2.88,11.11
260,-11.88,1.56,13.11
270,-11.59,0.32,14.1
280,-10.52,-1.72,13.64
290,-8.88,-4.32,13.78
300,-7.07,-6.86,13.35
310,-5.22,-9.12,12.6
320,-3.32,-11.05,11.98
330,-1.66,-13.05,11.68
340,-0.3,-14.85,11.6
350,0.67,-16.66,11.39
360,1.18,-18.02,10.84
370,1.71,-18.77,10.17
380,2.34,-17.93,8.47
390,1.8,-19.61,7.59
400,2.24,-17.27,4.03
410,2.86,-15.44,4.6
420,3.12,-14.39,3.52
430,3.44,-13.04,2.88
440,3.62,-11.57,2.54
450,3.37,-10.0,2.15
460,3.05,-8.49,1.96
470,2.72,-7.06,2.42
480,2.16,-5.52,3.06
490,1.79,-3.92,3.14
500,1.7,-2.51,3.51
510,1.72,-1.52,3.93
520,1.29,0.26,3.44
530,1.0,1.2,3.01
540,0.53,2.67,2.77
550,-0.48,3.8,3.44
560,-0.63,5.93,3.76
570,-2.56,7.71,5.01
580,-2.22,10.6,5.48
590,-3.56,10.68,5.97
600,-4.32,10.34,6.79
610,-4.47,10.85,7.06
620,-4.62,11.07,7.17
630,-4.4,12.02,6.9
640,-2.18,12.66,7.7
650,-4.26,6.43,7.41
660,-6.84,11.47,9.3
670,-6.55,12.34,9.22
680,-8.36,11.13,8.6
690,-8.04,9.77,7.4
700,-6.86,13.09,8.19
710,-7.08,12.99,6.73
720,-14.4,-3.48,-10.23
730,-6.77,14.98,5.57
740,-8.04,8.88,3.06
750,-8.47,7.0,1.56
760,-6.51,7.1,4.78
770,-9.26,3.37,6.35
780,-3.33,9.34,12.89
790,-14.44,-2.12,29.54
800,-9.77,-1.38,38.32
810,-6.17,-0.97,34.92
820,-5.27,-4.18,16.68
830,-1.32,-7.53,15.9
840,0.6,-10.14,13.24
850,0.63,-13.16,14.51
860,-2.3,-13.58,16.74
870,-3.98,-13.87,16.86
880,-5.18,-13.65,16.77
890,-6.11,-14.44,16.31
900,-5.96,-14.5,15.88
910,-5.3,-16.79,15.02
920,-4.29,-15.49,12.59
930,-3.24,-15.69,10.86
940,-2.8,-15.55,8.7
950,-2.63,-15.24,7.14
960,-2.57,-15.37,5.66
970,-2.95,-13.67,4.67
980,-3.16,-12.17,4.15
990,-3.12,-11.25,3.39
1000,-3.12,-10.12,2.73
