timestamp,x,y,z
0,-3.53,2.41,9.35
10,-3.67,2.4,9.21
20,-3.71,2.53,9.25
30,-3.99,2.87,9.01
40,-4.19,3.05,8.88
50,-4.24,3.1,8.96
60,-4.29,3.2,8.94
70,-4.19,3.42,8.64
80,-4.12,3.39,7.95
90,-4.03,3.15,7.22
100,-4.04,2.85,6.89
110,-3.92,3.07,6.46
120,-3.82,3.57,5.83
130,-3.79,4.24,5.6
140,-3.78,4.98,5.9
150,-3.75,5.67,6.15
160,-3.85,5.67,6.35
170,-3.74,5.23,6.76
180,-3.59,4.74,6.98
190,-3.55,4.08,7.14
200,-3.48,3.44,7.02
210,-3.39,2.47,6.18
220,-3.29,1.82,6.12
230,-3.27,0.63,5.76
240,-3.11,-0.01,5.53
250,-2.95,-0.38,5.2
260,-2.68,-0.7,4.85
270,-2.21,-1.11,4.71
280,-1.63,-1.31,4.65
290,-1.01,-1.64,4.53
300,-0.09,-2.38,3.84
310,0.98,-2.84,1.69
320,1.92,-2.85,-1.54
330,3.47,-2.71,-4.13
340,4.39,-1.09,-5.9
350,4.8,1.78,-5.7
360,6.12,3.81,-4.24
370,7.31,5.07,-3.71
380,8.24,6.66,-4.79
390,8.93,9.02,-6.46
400,9.96,11.13,-7.32
410,10.54,12.35,-7.43
420,11.21,12.59,-7.15
430,12.23,10.88,-6.53
440,13.04,11.32,-6.66
450,13.93,14.08,-6.02
460,15.26,18.72,-4.03
470,15.36,21.04,-2.48
480,15.31,24.07,-0.78
490,14.82,23.16,0.45
500,14.89,20.83,1.01
510,15.6,19.01,1.61
520,16.53,14.55,-0.55
530,17.09,9.24,-2.99
540,17.98,5.81,-3.0
550,19.09,4.03,-1.91
560,20.04,1.96,0.59
570,18.44,-0.49,3.69
580,19.15,5.18,9.12
590,22.88,17.5,21.56
600,23.04,24.76,32.03
610,20.74,27.99,30.3
620,22.94,24.25,24.16
630,24.04,12.98,15.47
640,23.57,2.85,6.75
650,21.46,-5.32,1.87
660,19.38,-8.88,3.65
670,18.49,-7.13,10.09
680,17.66,-3.24,22.63
690,16.62,0.61,26.24
700,14.0,1.67,28.48
710,13.11,1.78,28.58
720,12.31,1.45,25.7
730,11.41,0.56,20.82
740,10.45,-1.38,16.25
750,9.35,-3.32,12.81
760,7.83,-4.69,10.88
770,6.59,-5.03,11.12
780,5.88,-4.4,12.35
790,5.64,-3.25,13.87
800,5.86,-2.58,14.71
810,5.89,-1.99,13.77
820,5.98,-1.96,11.33
830,5.76,-2.87,9.44
840,5.45,-3.45,8.44
850,4.95,-3.6,7.31
860,4.64,-2.09,7.04
870,4.41,-0.3,6.91
880,4.16,1.28,4.41
890,3.67,2.9,1.02
900,2.97,4.13,-2.13
910,2.12,4.46,-4.41
920,1.07,5.02,-4.24
930,0.51,4.4,-2.08
940,0.29,4.43,0.78
950,0.36,4.73,2.19
960,0.33,5.31,0.11
970,-0.13,6.13,-3.45
980,-0.39,6.96,-5.75
990,-0.79,7.99,-6.08
1000,-1.59,8.62,-4.39
