timestamp,x,y,z
0,-8.35,-6.29,6.15
10,-8.36,-6.57,6.25
20,-8.22,-6.69,6.25
30,-8.03,-6.73,6.16
40,-7.89,-6.95,6.38
50,-7.78,-6.94,6.6
60,-7.59,-6.98,6.48
70,-7.37,-7.09,6.44
80,-7.07,-7.43,6.28
90,-6.78,-7.38,5.96
100,-6.38,-7.87,5.83
110,-6.12,-8.31,5.33
120,-5.77,-8.9,5.09
130,-5.27,-9.68,4.9
140,-4.7,-10.46,4.79
150,-3.93,-11.23,4.93
160,-3.39,-10.9,4.28
170,-2.91,-10.21,4.8
180,-2.03,-11.21,4.13
190,-1.55,-10.54,3.73
200,-0.62,-10.45,3.66
210,-0.03,-10.04,3.32
220,0.6,-9.85,3.63
230,1.13,-9.91,4.49
240,1.48,-9.72,5.67
250,1.58,-8.78,6.52
260,1.06,-7.57,7.53
270,0.93,-6.15,8.39
280,1.36,-3.63,7.58
290,2.09,-2.02,7.6
300,3.74,-0.32,8.06
310,4.96,2.0,7.13
320,5.53,4.69,7.56
330,5.13,6.96,8.41
340,3.84,9.66,10.73
350,1.3,13.74,12.17
360,-1.04,16.39,13.43
370,-3.57,17.49,14.15
380,-5.6,18.47,13.12
390,-5.88,17.51,12.32
400,-5.68,16.54,11.28
410,-5.43,16.81,9.28
420,-5.12,15.98,9.41
430,-5.66,16.02,8.33
440,-5.91,15.32,8.31
450,-6.38,14.57,7.72
460,-6.04,13.39,6.69
470,-5.69,11.83,5.66
480,-5.46,9.63,5.24
490,-6.62,10.05,3.79
500,-6.6,9.66,4.68
510,-6.71,10.93,4.09
520,-7.67,9.92,4.84
530,-7.49,10.13,13.46
540,-13.17,10.81,14.46
550,-12.77,10.6,19.36
560,-12.87,8.99,23.25
570,-10.18,7.43,23.51
580,-3.23,5.22,25.8
590,3.22,2.22,22.87
600,9.84,-2.4,22.5
610,13.31,-6.15,20.02
620,12.67,-7.38,19.94
630,8.43,-6.91,22.9
640,3.14,-6.52,24.45
650,-1.78,-5.81,26.05
660,-6.03,-4.23,27.34
670,-8.86,-3.02,28.2
680,-9.55,-2.8,25.59
690,-6.5,-3.03,24.25
700,-3.07,-4.29,21.24
710,-0.42,-5.38,17.77
720,1.9,-6.81,16.17
730,3.1,-8.06,14.43
740,3.18,-9.19,12.42
750,2.11,-7.08,12.97
760,-0.89,-8.71,12.22
770,-2.15,-7.75,12.52
780,-2.15,-8.77,12.22
790,-1.62,-8.78,11.54
800,-0.11,-8.84,11.9
810,0.86,-11.72,6.45
820,0.41,-8.19,6.78
830,0.71,-8.44,5.84
840,1.73,-7.5,3.54
850,-0.54,-9.56,3.7
860,0.58,-7.02,4.03
870,-0.37,-6.8,2.63
880,-0.3,-5.9,3.38
890,-0.83,-5.1,1.84
900,-0.89,-4.64,1.52
910,-1.18,-4.72,1.54
920,-1.44,-3.68,1.41
930,-2.15,-0.43,0.62
940,-2.37,-1.26,0.07
950,-3.06,-1.03,-0.25
960,-3.27,-1.2,-0.38
970,-3.17,-1.02,-0.09
980,-3.25,-0.59,0.33
990,-3.66,0.08,1.39
1000,-4.8,1.15,2.09
