timestamp,x,y,z
0,0.26,-7.07,4.56
10,0.84,-6.1,2.3
20,1.51,-5.43,-0.72
30,1.59,-5.1,-4.28
40,1.76,-4.51,-7.46
50,2.19,-3.12,-9.0
60,2.73,-0.67,-6.87
70,5.44,0.51,-3.53
80,6.3,3.46,-3.3
90,7.68,6.9,-3.86
100,8.97,10.38,-2.76
110,8.82,18.19,-0.07
120,5.81,20.1,0.53
130,5.53,19.66,-1.78
140,5.22,16.73,-6.43
150,4.37,14.62,-10.54
160,5.14,13.28,-11.81
170,6.12,13.17,-10.67
180,6.42,13.19,-8.83
190,6.96,13.43,-6.48
200,8.04,12.73,-4.04
210,8.78,11.26,-2.67
220,9.45,10.2,-0.9
230,10.04,10.02,2.44
240,10.15,12.71,5.36
250,11.1,15.56,7.37
260,10.16,14.92,6.17
270,11.36,14.9,4.74
280,11.59,12.75,3.62
290,11.86,11.65,4.84
300,12.41,11.77,6.4
310,12.67,12.32,8.06
320,12.68,13.27,10.25
330,13.43,15.43,12.67
340,13.81,17.7,15.6
350,13.86,19.83,17.81
360,15.49,21.91,18.46
370,17.7,20.07,18.57
380,18.51,15.26,16.78
390,18.97,8.68,15.13
400,18.54,3.12,15.18
410,17.03,1.56,16.9
420,15.14,4.19,18.66
430,13.69,7.32,21.09
440,12.63,9.41,22.66
450,12.45,9.03,22.23
460,12.37,6.79,21.02
470,11.83,4.12,18.84
480,10.73,1.86,16.29
490,9.8,-0.16,14.29
500,8.73,-2.61,13.34
510,7.73,-5.5,12.8
520,5.95,-7.44,11.59
530,4.17,-8.45,10.01
540,2.48,-8.67,8.86
550,1.1,-8.14,8.15
560,0.33,-6.6,7.6
570,0.1,-5.26,7.42
580,-0.21,-3.57,7.44
590,-0.48,-2.73,6.58
600,-0.6,-2.21,5.32
610,-0.84,-1.95,3.99
620,-1.15,-1.9,2.41
630,-1.18,-1.78,0.9
640,-1.25,-1.64,-0.22
650,-1.27,-1.33,-0.94
660,-0.95,-1.12,-1.99
670,-1.02,-0.8,-4.29
680,-1.36,0.22,-7.48
690,-1.68,3.08,-9.32
700,-2.43,7.67,-8.38
710,-3.62,10.98,-5.79
720,-3.8,10.46,-2.88
730,-3.65,9.75,-1.49
740,-3.4,9.78,-2.11
750,-3.58,11.25,-3.07
760,-4.09,13.57,-3.65
770,-4.52,15.45,-3.6
780,-4.8,15.64,-2.99
790,-4.58,13.56,-2.12
800,-4.26,10.77,-2.05
810,-3.84,9.33,-2.07
820,-3.56,8.84,-1.21
830,-3.29,10.04,0.58
840,-3.04,11.85,2.27
850,-2.77,13.13,3.24
860,-2.54,14.1,3.63
870,-2.3,14.28,4.21
880,-2.09,13.55,4.76
890,-1.96,12.5,5.2
900,-1.86,11.78,5.31
910,-1.96,11.24,4.94
920,-2.25,10.75,4.55
930,-2.48,10.37,4.42
940,-2.7,10.01,4.33
950,-2.95,9.75,4.17
960,-3.04,9.42,4.37
970,-3.12,8.95,4.9
980,-3.25,8.77,5.25
990,-3.34,7.48,4.87
1000,-3.65,6.43,4.54
