timestamp,x,y,z
0,-1.56,-13.42,11.89
10,-1.23,-11.0,11.44
20,-0.91,-11.44,9.92
30,-0.66,-12.53,7.65
40,-0.45,-12.5,5.41
50,-0.18,-11.15,3.3
60,-0.08,-10.21,1.36
70,-0.25,-10.26,0.71
80,-0.5,-10.34,1.4
90,-0.7,-10.63,2.18
100,-0.88,-10.42,2.02
110,-0.62,-9.86,1.87
120,-0.3,-9.0,1.73
130,-0.24,-7.83,1.66
140,0.0,-6.42,1.26
150,0.36,-5.24,0.02
160,0.14,-4.25,-0.92
170,0.22,-3.45,-1.44
180,-0.03,-3.48,-1.46
190,-0.25,-2.8,-2.22
200,-0.39,-1.35,-2.91
210,-0.62,-0.66,-3.1
220,-0.79,-0.46,-2.79
230,-0.65,0.0,-2.94
240,-0.42,0.25,-3.37
250,-1.0,0.38,-3.53
260,-0.33,0.33,-3.31
270,-0.37,-0.49,-3.92
280,-0.03,-1.07,-4.57
290,0.92,-1.32,-4.41
300,1.58,-0.27,-3.1
310,2.85,0.51,-1.05
320,4.07,0.45,0.56
330,4.52,0.6,2.35
340,5.28,1.33,3.92
350,5.37,2.61,4.74
360,5.23,3.58,5.6
370,5.24,4.44,6.08
380,5.42,6.17,5.54
390,6.84,9.07,3.24
400,7.32,11.28,1.81
410,8.64,11.08,2.81
420,9.89,10.14,5.48
430,10.58,8.6,6.81
440,11.1,7.15,8.32
450,11.54,7.5,9.42
460,12.09,7.79,10.0
470,12.87,8.54,10.12
480,13.65,9.4,10.59
490,13.67,9.9,11.91
500,14.34,10.5,13.81
510,14.83,12.06,15.94
520,13.79,11.39,20.87
530,17.01,13.23,21.86
540,18.72,11.86,24.08
550,19.5,7.66,24.48
560,20.78,4.03,28.2
570,25.56,-3.68,24.81
580,27.17,-6.7,19.4
590,27.86,-10.66,13.78
600,26.84,-17.35,8.22
610,23.47,-22.6,6.7
620,21.35,-24.89,13.55
630,19.42,-25.89,20.92
640,17.65,-26.42,27.91
650,17.18,-26.2,32.65
660,17.97,-23.67,32.71
670,20.78,-21.42,27.58
680,22.47,-20.82,19.25
690,23.69,-22.45,9.81
700,22.89,-26.73,-0.04
710,18.62,-26.07,-5.33
720,13.95,-24.45,-5.04
730,10.59,-25.24,-2.57
740,8.24,-25.48,-1.61
750,7.12,-23.29,-2.23
760,7.2,-19.55,-3.16
770,7.24,-16.37,-3.56
780,7.03,-13.51,-3.47
790,6.9,-11.19,-3.11
800,6.64,-9.66,-2.71
810,6.08,-9.16,-2.18
820,5.52,-8.99,-1.19
830,5.36,-7.98,-0.22
840,5.11,-6.66,0.71
850,5.25,-5.16,1.25
860,5.13,-3.28,1.34
870,4.47,-0.56,0.54
880,5.52,3.51,0.32
890,4.79,6.26,0.69
900,3.82,7.76,0.2
910,2.83,7.89,0.54
920,1.87,6.82,2.78
930,0.91,5.8,5.8
940,-0.17,6.82,8.68
950,-1.45,9.73,10.83
960,-2.29,11.36,10.68
970,-2.84,9.83,8.76
980,-3.28,7.42,6.75
990,-3.44,6.55,5.55
1000,-3.56,6.88,5.83
