timestamp,x,y,z
0,-10.36,-5.47,6.71
10,-11.03,-5.59,7.13
20,-11.12,-5.67,7.48
30,-10.44,-5.7,7.76
40,-9.29,-6.04,8.07
50,-8.01,-6.78,8.38
60,-6.78,-8.05,8.81
70,-5.77,-9.22,9.3
80,-5.28,-10.3,9.32
90,-4.68,-11.11,9.18
100,-4.09,-11.5,8.69
110,-3.43,-11.88,8.13
120,-2.72,-12.49,7.68
130,-2.07,-12.28,6.81
140,-1.43,-12.15,5.94
150,-1.02,-12.19,5.44
160,-1.05,-12.24,5.28
170,-1.07,-12.48,5.24
180,-1.04,-12.51,5.09
190,-0.82,-12.46,4.97
200,-0.56,-12.3,4.78
210,-0.19,-11.96,4.53
220,-0.05,-11.57,4.36
230,0.17,-11.04,4.18
240,0.43,-10.63,4.12
250,0.62,-10.65,4.1
260,0.7,-10.19,3.67
270,0.75,-10.04,3.51
280,0.89,-9.94,3.3
290,1.09,-9.61,2.97
300,1.28,-9.03,2.57
310,1.64,-8.55,2.0
320,2.15,-7.55,1.83
330,3.05,-6.87,1.99
340,3.3,-5.76,2.38
350,3.15,-4.38,3.03
360,2.84,-2.52,3.7
370,2.27,-0.55,3.96
380,1.68,0.61,4.2
390,1.69,1.11,3.87
400,2.24,1.38,3.59
410,2.92,1.83,2.36
420,3.21,3.54,1.58
430,2.65,3.27,3.19
440,1.48,9.19,6.07
450,-1.34,8.85,7.24
460,-3.37,13.12,9.48
470,-5.41,12.34,10.01
480,-6.28,12.17,9.43
490,-6.08,11.32,9.26
500,-5.86,10.0,8.83
510,-6.29,10.67,8.62
520,-7.37,11.67,9.54
530,-9.01,12.81,11.07
540,-10.79,13.76,12.21
550,-12.06,14.29,12.78
560,-12.21,14.08,12.78
570,-11.69,12.91,12.49
580,-10.88,11.37,12.25
590,-10.37,10.08,12.01
600,-10.43,8.51,11.42
610,-10.6,6.7,11.34
620,-10.94,4.63,11.14
630,-11.81,1.69,11.07
640,-14.23,-3.33,12.11
650,-14.79,-3.0,19.39
660,-13.29,0.98,22.98
670,-10.72,-5.35,26.64
680,-6.93,-2.46,21.02
690,-2.36,-4.76,19.41
700,1.44,-7.25,17.72
710,2.78,-9.68,15.83
720,2.68,-10.55,16.16
730,2.13,-10.51,16.82
740,1.87,-10.9,18.33
750,1.29,-13.53,20.54
760,0.67,-13.92,18.58
770,0.53,-14.02,18.01
780,1.23,-14.61,18.36
790,4.09,-16.28,16.16
800,4.97,-16.83,14.51
810,4.98,-16.53,13.04
820,3.84,-14.93,11.15
830,2.55,-13.98,10.39
840,1.46,-12.96,10.03
850,0.78,-11.67,9.74
860,0.53,-10.24,9.31
870,0.43,-9.05,8.64
880,0.53,-8.2,7.32
890,0.66,-7.15,5.86
900,0.65,-6.44,4.92
910,0.51,-5.44,4.13
920,0.08,-4.51,3.81
930,-0.57,-3.36,3.43
940,-1.26,-2.33,3.13
950,-1.94,-1.27,2.8
960,-2.72,-0.42,2.62
970,-3.46,0.57,2.36
980,-4.1,1.43,2.56
990,-4.77,2.68,1.99
1000,-5.37,2.82,2.15
