timestamp,x,y,z
0,7.53,5.1,5.3
10,7.31,6.73,6.3
20,7.29,8.38,6.7
30,8.25,9.43,6.65
40,9.42,9.68,6.71
50,10.92,9.52,7.25
60,12.98,9.34,8.28
70,13.52,9.02,11.92
80,11.14,7.84,10.97
90,10.74,15.43,13.18
100,7.61,19.53,14.29
110,8.84,23.36,15.11
120,9.61,25.2,15.52
130,12.7,27.65,19.63
140,11.2,22.55,15.06
150,11.0,13.57,9.08
160,11.42,9.17,5.98
170,10.01,7.54,4.44
180,9.19,7.53,3.63
190,8.55,8.07,3.51
200,7.96,8.8,3.49
210,7.86,8.93,4.55
220,7.79,9.38,4.57
230,7.97,9.64,3.97
240,9.35,8.39,4.95
250,10.83,8.18,6.03
260,11.45,10.27,6.28
270,11.26,12.99,7.49
280,12.04,13.61,8.46
290,12.69,13.04,9.01
300,14.26,12.79,9.43
310,15.57,12.51,10.53
320,16.17,10.21,11.9
330,15.36,8.31,12.32
340,14.08,7.08,10.2
350,13.48,6.83,7.41
360,13.23,6.4,6.05
370,13.1,5.77,5.86
380,12.24,5.1,5.95
390,10.9,5.16,6.18
400,11.27,5.45,7.18
410,11.55,6.28,8.11
420,11.54,7.27,8.2
430,12.01,7.34,8.78
440,11.43,7.85,9.25
450,10.92,8.23,9.18
460,10.57,8.45,8.66
470,9.53,9.03,7.76
480,8.86,9.28,6.88
490,9.51,6.77,7.72
500,10.06,1.72,11.22
510,10.64,-1.07,12.33
520,9.73,-2.46,12.1
530,8.21,-1.79,9.76
540,6.57,-0.05,6.96
550,4.85,2.78,4.23
560,3.26,3.31,2.53
570,1.72,2.55,2.07
580,0.53,0.24,2.55
590,0.09,-1.92,3.36
600,-0.74,-2.73,4.25
610,-1.41,-1.89,4.68
620,-2.07,-0.62,3.88
630,-2.41,0.09,3.34
640,-2.69,-0.34,2.9
650,-3.19,-1.22,2.25
660,-3.79,-1.79,1.76
670,-4.32,-3.17,1.44
680,-4.89,-4.66,1.04
690,-5.63,-4.57,0.85
700,-6.36,-3.37,0.48
710,-6.95,-2.22,-0.27
720,-7.0,-2.36,-0.21
730,-7.13,-2.83,0.16
740,-7.37,-3.47,0.03
750,-7.5,-4.11,0.15
760,-8.11,-4.36,-0.09
770,-8.53,-4.52,-0.48
780,-8.81,-4.27,-0.81
790,-9.03,-4.26,-1.0
800,-9.45,-4.24,-1.11
810,-9.73,-4.03,-0.99
820,-9.81,-3.49,-0.81
830,-9.92,-2.87,-0.54
840,-9.86,-1.94,-0.05
850,-9.62,-0.63,0.59
860,-9.36,0.72,0.98
870,-9.27,1.6,1.26
880,-9.7,1.61,1.32
890,-9.29,1.35,1.56
900,-9.44,1.29,1.79
910,-9.48,1.51,2.3
920,-9.41,2.14,2.97
930,-9.34,2.55,3.18
940,-9.33,3.0,3.42
950,-9.07,3.15,3.88
960,-9.28,3.59,3.85
970,-8.91,3.33,4.19
980,-8.7,2.25,4.66
990,-8.49,1.35,4.86
1000,-8.58,0.89,4.94
