timestamp,x,y,z
0,-5.94,1.0,-4.04
10,-6.05,0.95,-3.75
20,-5.97,0.87,-3.37
30,-5.84,0.8,-3.02
40,-5.79,0.91,-2.41
50,-6.25,1.22,-1.56
60,-7.14,1.56,-1.02
70,-7.78,1.78,-0.54
80,-8.41,1.95,-0.28
90,-8.72,2.1,-0.22
100,-8.57,2.06,-0.75
110,-6.91,1.23,-0.51
120,-6.25,1.49,-0.56
130,-5.51,1.14,0.56
140,-6.04,1.81,2.14
150,-7.25,2.47,3.42
160,-8.69,3.21,4.06
170,-9.98,3.62,3.71
180,-10.43,3.71,2.78
190,-10.27,3.52,1.99
200,-9.75,3.45,1.39
210,-8.94,3.38,1.13
220,-8.01,3.43,1.77
230,-8.03,3.91,3.21
240,-8.63,4.45,4.41
250,-9.39,4.49,4.95
260,-10.1,4.46,5.4
270,-11.57,4.94,5.79
280,-12.62,5.09,4.97
290,-12.15,4.8,4.09
300,-10.92,4.42,3.4
310,-9.5,4.19,2.92
320,-7.96,3.82,2.8
330,-7.21,3.74,3.31
340,-6.87,4.18,3.67
350,-6.73,4.2,3.55
360,-6.81,4.56,3.65
370,-8.52,5.81,4.1
380,-10.09,6.48,3.66
390,-10.41,6.62,3.41
400,-9.8,6.7,3.6
410,-9.0,6.92,4.22
420,-8.57,7.02,4.66
430,-8.28,6.93,4.76
440,-8.1,6.55,4.78
450,-8.5,6.6,5.08
460,-9.63,7.06,5.54
470,-11.05,7.86,5.99
480,-12.36,9.09,6.42
490,-13.22,9.68,6.87
500,-13.8,10.81,6.8
510,-13.82,10.6,7.03
520,-13.95,10.94,6.76
530,-14.33,11.83,5.73
540,-14.82,12.07,5.06
550,-14.95,11.78,4.51
560,-14.56,11.17,3.83
570,-13.29,9.62,4.21
580,-10.8,9.05,4.79
590,-10.17,8.78,5.28
600,-9.72,8.65,5.66
610,-9.57,8.74,5.8
620,-9.75,8.57,5.94
630,-10.01,8.32,6.03
640,-9.83,7.84,5.95
650,-9.31,7.3,5.73
660,-8.55,6.73,5.71
670,-8.08,6.24,5.76
680,-7.88,5.74,5.87
690,-8.13,5.44,5.8
700,-8.34,4.98,5.55
710,-8.38,4.34,5.24
720,-8.16,3.76,4.96
730,-7.97,3.33,4.66
740,-7.82,2.99,4.19
750,-7.7,2.69,3.94
760,-7.76,2.42,3.62
770,-7.96,2.23,3.44
780,-8.03,1.9,2.91
790,-7.74,1.36,2.59
800,-7.63,1.08,2.33
810,-7.14,0.4,2.24
820,-6.8,-0.21,2.17
830,-6.61,-0.78,2.18
840,-6.65,-1.0,2.32
850,-6.74,-1.28,2.24
860,-6.72,-1.51,2.17
870,-6.64,-1.84,1.72
880,-6.2,-2.17,1.27
890,-5.71,-2.6,0.73
900,-5.25,-3.03,0.24
910,-4.63,-3.62,0.1
920,-4.37,-3.43,0.04
930,-3.91,-5.52,-0.18
940,-3.92,-5.4,-0.16
950,-4.03,-5.62,-0.16
960,-4.26,-5.88,-0.26
970,-4.45,-5.81,-0.36
980,-4.54,-5.97,-0.49
990,-4.58,-6.26,-0.61
1000,-4.48,-6.5,-0.84
