timestamp,x,y,z
0,-4.86,3.91,0.34
10,-4.89,4.12,0.69
20,-5.16,4.24,1.43
30,-5.88,4.17,1.87
40,-6.3,4.04,2.48
50,-6.6,3.48,2.93
60,-6.31,2.49,3.45
70,-5.56,1.67,3.93
80,-4.67,1.12,4.14
90,-3.81,0.67,4.31
100,-3.06,0.43,4.62
110,-2.91,0.72,5.12
120,-3.56,1.61,6.14
130,-4.74,2.97,7.33
140,-6.36,4.51,8.46
150,-7.83,6.01,8.8
160,-8.94,7.03,8.21
170,-9.73,7.8,7.93
180,-10.29,7.98,8.28
190,-11.25,8.23,9.03
200,-11.51,8.74,10.07
210,-11.83,9.09,11.15
220,-12.27,9.85,12.22
230,-12.85,10.17,12.83
240,-13.11,10.29,13.15
250,-13.56,10.11,12.78
260,-14.05,9.82,12.38
270,-14.1,9.77,11.98
280,-13.72,9.47,11.6
290,-12.9,9.02,11.13
300,-11.96,8.55,10.78
310,-11.11,8.26,10.56
320,-10.67,8.09,10.3
330,-10.73,8.37,9.85
340,-10.86,8.44,9.36
350,-10.78,8.65,8.8
360,-10.64,8.82,8.58
370,-10.38,9.01,8.45
380,-10.43,9.68,8.4
390,-10.55,10.32,8.28
400,-10.49,10.98,8.72
410,-10.6,11.53,8.81
420,-10.66,11.85,8.75
430,-10.77,12.29,8.68
440,-10.69,12.32,8.74
450,-10.6,12.29,8.64
460,-10.52,12.07,8.46
470,-10.04,11.53,8.22
480,-9.33,10.84,7.92
490,-8.42,9.99,7.79
500,-7.6,9.19,7.93
510,-7.2,8.54,7.96
520,-7.06,8.05,8.15
530,-7.19,7.57,7.96
540,-7.38,7.06,7.72
550,-7.32,6.23,7.68
560,-7.06,5.43,7.41
570,-6.44,4.37,7.13
580,-5.72,3.1,6.41
590,-4.8,1.64,5.91
600,-4.19,0.44,5.21
610,-3.93,-0.5,4.72
620,-3.97,-0.86,4.12
630,-4.3,-1.16,3.12
640,-4.62,-2.46,2.51
650,-4.3,-3.29,1.91
660,-3.74,-3.98,1.51
670,-3.08,-4.63,1.11
680,-2.42,-5.2,0.56
690,-1.79,-5.58,-0.0
700,-1.43,-5.71,-0.57
710,-1.51,-5.57,-1.27
720,-1.92,-5.48,-1.87
730,-2.36,-5.61,-2.37
740,-2.71,-5.44,-2.66
750,-3.53,-4.86,-2.72
760,-4.24,-4.14,-2.61
770,-4.92,-3.51,-2.73
780,-5.32,-3.08,-3.04
790,-5.36,-2.96,-3.37
800,-5.41,-2.78,-3.72
810,-5.32,-2.7,-4.01
820,-5.35,-2.59,-4.22
830,-5.57,-2.26,-4.35
840,-5.85,-1.94,-4.47
850,-6.06,-1.62,-4.43
860,-6.31,-1.48,-4.48
870,-6.69,-1.35,-4.63
880,-6.92,-1.3,-4.68
890,-7.07,-1.15,-4.58
900,-7.13,-1.3,-4.55
910,-7.16,-1.4,-4.43
920,-7.08,-1.49,-4.21
930,-7.19,-1.39,-3.93
940,-7.53,-1.07,-3.89
950,-7.92,-0.91,-4.08
960,-8.12,-0.57,-4.44
970,-8.44,-0.25,-4.79
980,-8.55,-0.07,-4.73
990,-8.53,-0.12,-4.49
1000,-8.46,-0.27,-4.07
