timestamp,x,y,z
0,-9.83,0.86,2.79
10,-9.82,0.84,2.69
20,-9.77,0.89,2.69
30,-9.76,1.01,2.78
40,-9.71,1.07,2.74
50,-9.66,1.15,2.69
60,-9.64,0.94,2.59
70,-9.52,0.79,2.59
80,-9.47,0.62,2.51
90,-9.43,0.48,2.23
100,-9.44,0.44,2.09
110,-9.43,0.45,2.06
120,-9.4,0.33,1.95
130,-9.33,0.26,1.87
140,-9.21,0.16,1.93
150,-9.21,0.11,2.01
160,-9.27,0.07,1.97
170,-9.4,-0.01,1.9
180,-9.58,-0.02,1.76
190,-9.77,0.12,1.41
200,-9.89,0.28,1.26
210,-9.91,0.29,1.1
220,-9.87,0.18,0.93
230,-9.73,-0.05,0.84
240,-9.58,-0.28,0.78
250,-9.38,-0.47,0.72
260,-9.27,-0.8,0.39
270,-9.09,-1.58,-0.34
280,-8.59,-2.15,-0.91
290,-8.48,-2.62,-1.56
300,-8.23,-2.7,-1.99
310,-8.07,-3.6,-5.76
320,-7.96,-5.72,-7.25
330,-6.48,-6.3,-8.04
340,-5.56,-6.94,-6.78
350,-4.71,-6.75,-4.91
360,-4.15,-7.07,-3.91
370,-3.46,-8.07,-4.27
380,-2.51,-10.09,-6.12
390,-0.62,-11.6,-7.2
400,1.54,-11.35,-6.51
410,3.38,-9.35,-5.41
420,5.36,-7.04,-4.79
430,6.38,-5.72,-4.25
440,7.3,-3.74,-3.68
450,9.06,-2.03,-2.63
460,10.8,-1.12,-1.18
470,11.94,-0.94,1.1
480,12.73,-0.56,3.43
490,14.61,0.46,5.48
500,16.6,1.91,6.59
510,19.63,3.59,8.26
520,21.29,5.44,10.6
530,21.13,9.68,12.7
540,19.61,13.69,13.9
550,17.68,16.49,12.57
560,16.93,18.71,10.44
570,18.04,18.98,8.85
580,19.45,17.25,7.98
590,19.99,16.69,8.64
600,20.27,16.96,9.89
610,19.74,18.28,11.61
620,18.76,19.6,13.08
630,17.64,21.13,15.02
640,16.13,23.87,17.27
650,14.75,26.66,19.49
660,12.44,28.97,16.52
670,12.44,29.24,15.16
680,12.95,27.94,12.81
690,13.62,25.94,9.11
700,13.28,23.06,4.95
710,12.34,21.18,1.9
720,11.45,20.37,0.6
730,11.08,20.36,1.29
740,11.29,20.97,3.44
750,11.74,22.23,5.8
760,12.37,22.88,8.26
770,13.35,22.85,10.66
780,14.26,22.0,13.65
790,15.11,18.03,13.53
800,16.27,15.27,12.62
810,15.48,13.76,12.01
820,14.97,12.7,12.12
830,14.5,11.56,12.86
840,13.69,10.15,13.01
850,12.86,8.64,11.84
860,11.9,6.99,9.91
870,10.84,5.64,8.24
880,9.86,4.71,6.9
890,9.21,3.21,6.11
900,8.49,0.99,5.73
910,7.51,-0.97,5.16
920,6.26,-2.1,4.26
930,5.1,-2.5,3.16
940,4.07,-2.39,2.61
950,3.21,-2.25,2.1
960,2.68,-2.02,1.21
970,2.46,-2.57,0.64
980,2.14,-3.74,0.09
990,1.78,-4.87,-0.5
1000,0.92,-6.02,-1.36
